Total # of credes: 400 | revocation epoch: 1 | took: 15.838374972343445 ms
Total # of credes: 400 | revocation epoch: 1 | took: 15.118458986282349 ms
Total # of credes: 400 | revocation epoch: 1 | took: 13.90012502670288 ms
Total # of credes: 400 | revocation epoch: 1 | took: 14.71654200553894 ms
Total # of credes: 400 | revocation epoch: 1 | took: 15.286999940872192 ms
Total # of credes: 400 | revocation epoch: 1 | took: 14.16654098033905 ms
Total # of credes: 400 | revocation epoch: 1 | took: 14.382416009902954 ms
Total # of credes: 400 | revocation epoch: 1 | took: 14.702999949455261 ms
Total # of credes: 400 | revocation epoch: 1 | took: 14.695958971977234 ms
Total # of credes: 400 | revocation epoch: 1 | took: 13.159458994865417 ms
Total # of credes: 400 | revocation epoch: 1 | took: 1257.1985830068588 ms
Total # of credes: 400 | revocation epoch: 2 | took: 14.921832919120789 ms
Total # of credes: 400 | revocation epoch: 2 | took: 17.00945794582367 ms
Total # of credes: 400 | revocation epoch: 2 | took: 14.474416017532349 ms
Total # of credes: 400 | revocation epoch: 2 | took: 15.792042016983032 ms
Total # of credes: 400 | revocation epoch: 2 | took: 15.666583061218262 ms
Total # of credes: 400 | revocation epoch: 2 | took: 14.783208012580872 ms
Total # of credes: 400 | revocation epoch: 2 | took: 14.59862506389618 ms
Total # of credes: 400 | revocation epoch: 2 | took: 13.847874999046326 ms
Total # of credes: 400 | revocation epoch: 2 | took: 15.96495795249939 ms
Total # of credes: 400 | revocation epoch: 2 | took: 652.3509171009064 ms
Total # of credes: 400 | revocation epoch: 3 | took: 17.358916997909546 ms
Total # of credes: 400 | revocation epoch: 3 | took: 14.52400004863739 ms
Total # of credes: 400 | revocation epoch: 3 | took: 14.801458954811096 ms
Total # of credes: 400 | revocation epoch: 3 | took: 13.428874969482422 ms
Total # of credes: 400 | revocation epoch: 3 | took: 14.31108295917511 ms
Total # of credes: 400 | revocation epoch: 3 | took: 13.837792038917542 ms
Total # of credes: 400 | revocation epoch: 3 | took: 15.106167078018188 ms
Total # of credes: 400 | revocation epoch: 3 | took: 14.857582926750183 ms
Total # of credes: 400 | revocation epoch: 3 | took: 14.462832927703857 ms
Total # of credes: 400 | revocation epoch: 3 | took: 717.6949170827866 ms
Total # of credes: 400 | revocation epoch: 4 | took: 14.825707912445068 ms
Total # of credes: 400 | revocation epoch: 4 | took: 14.802374958992004 ms
Total # of credes: 400 | revocation epoch: 4 | took: 17.37724995613098 ms
Total # of credes: 400 | revocation epoch: 4 | took: 18.694375038146973 ms
Total # of credes: 400 | revocation epoch: 4 | took: 14.882375001907349 ms
Total # of credes: 400 | revocation epoch: 4 | took: 14.419709086418152 ms
